token_type,token_address,receiver,amount,id,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x4ab54c9ea8b56db62832ed20654f373b7305db0c,,11,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x1f736b9d5cdeb4933db97e4f9f8153899e0ab82f,,12,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0xe4918b846156782a8454acb1332beeea9b523763,,20,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0xd78368092cb1079e3ddae7f192f5dcde53949ccd,,19,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x1561c3218ab5feeec5a0a7b817596eabd257e5a3,,14,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0xdb88db916c76323ce15ed5fe1f50d2f54733fc70,,16,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x616001b6a176961849c8e1422a5d95a9dbbc4739,,15,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0xde10f01e3f9bf288ef7a91cb4744b4af3f2797f0,,17,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x9debae598db0b4bbb53308ab7894de7cc0d5326b,,18,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0xb3005148e7b58bff2f82cbe63416363243349949,,31,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0xdfd89a9d9c7a7b278887f59c9ff4bd244cb1d397,,28,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x511e061bc0082bf14de5cf2a6eec624df585fa52,,29,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x58e12a716b8ce86865d9482a30652a52a0359984,,30,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x9ab301fd4f2519af93ca316b4fcd7d26abd2f9e9,,33,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x0f9d7257a592c7d4359d6059811e07a9a1cff110,,34,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0xb159de0dddab4a997f1c22fcf1c939d3317d9ec6,,32,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x2843b4e0e0b7b812c1b574c77a54308daed0d0a2,,38,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x872c95b2284e089fcb205d5dcf8e40b9e4caea97,,41,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x3d4c86aa1f4ae5318e91957287918add80f4f4c6,,39,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x6519319e8f32f22f7a22274898588f6dc4b40bbf,,35,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0xa51ec9a7dbd81db527cb3fd15abd32bbbda8e785,,46,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x586075cea62b415a33050c012c6e1591c1da1c74,,37,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x8b4ca0c6ff4b175a776aea73a251354b6771bcca,,47,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0xdbbf7481e3e38ae10c9579cfa541c932c5c9a05d,,36,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x3c7ea1846bc5cb5e043a1ce8b728d4e42d9f2539,,43,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x8ffd0b26e7a5d1b535bcc3227b44a933fff0d338,,48,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x7157961707e305d5580c8ab29ce6e120ec01744e,,44,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0xef5939492958abb8488ce5a5c68d61ac29c07732,,51,
nft,0xdd407a053fa45172079916431d06E8e07f655042,0x74f2305790da72386a1d1d32d82b8db8164c0704,,50,
